"MA_practice","corrAns","corrAns2","MA_baseline","MA_exp","corrAns3","Practice_trials.thisRepN","Practice_trials.thisTrialN","Practice_trials.thisN","Practice_trials.thisIndex","Baseline_block.thisRepN","Baseline_block.thisTrialN","Baseline_block.thisN","Baseline_block.thisIndex","experimental_block.thisRepN","experimental_block.thisTrialN","experimental_block.thisN","experimental_block.thisIndex","session_number_key.keys","session_number_key.corr","session_number_key.rt","trial_key.keys","trial_key.corr","trial_key.rt","basetrial_key.keys","basetrial_key.corr","basetrial_key.rt","Mani_key.keys","Mani_key.rt","exptrial_key.keys","exptrial_key.corr","exptrial_key.rt","date","frameRate","expName","session","participant","X"
"","","z","6=3 (mod 3)","5=2 (mod 3)","z",NA,NA,NA,NA,0,21,21,0,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"z",1,1.83286395243,"",NA,"",NA,NA,"2016_Nov_11_1350",59.8990831373,"MA task",NA,"mike",NA
"","","m","78=74 (mod 2)","77=73 (mod 2)","m",NA,NA,NA,NA,0,22,22,17,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"z",0,1.99943241355,"",NA,"",NA,NA,"2016_Nov_11_1350",59.8990831373,"MA task",NA,"mike",NA
"","","z","67=33 (mod 2)","62=32 (mod 3)","z",NA,NA,NA,NA,0,23,23,8,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"z",1,2.79912906482,"",NA,"",NA,NA,"2016_Nov_11_1350",59.8990831373,"MA task",NA,"mike",NA
"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"space",16.3272607331,"",NA,NA,"2016_Nov_11_1350",59.8990831373,"MA task",NA,"mike",NA
"","","z","18=11 (mod 7)","15=11 (mod 4)","z",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,16,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,"z",1,4.24857938285,"2016_Nov_11_1350",59.8990831373,"MA task",NA,"mike",NA
"","","z","22=18 (mod 4)","26=22 (mod 4)","z",NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,22,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,"z",1,4.61517418703,"2016_Nov_11_1350",59.8990831373,"MA task",NA,"mike",NA
"","","z","65=33 (mod 8)","67=37 (mod 5)","z",NA,NA,NA,NA,NA,NA,NA,NA,0,2,2,14,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,"z",1,1.6162675339,"2016_Nov_11_1350",59.8990831373,"MA task",NA,"mike",NA
"","","m","77=42 (mod 4)","74=49 (mod 4)","m",NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,11,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,"m",1,2.61591458099,"2016_Nov_11_1350",59.8990831373,"MA task",NA,"mike",NA
"","","z","61=56 (mod 5)","64=59 (mod 5)","z",NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,18,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,"z",1,3.76543380188,"2016_Nov_11_1350",59.8990831373,"MA task",NA,"mike",NA
"","","z","9=2 (mod 7)","8=4 (mod 4)","z",NA,NA,NA,NA,NA,NA,NA,NA,0,5,5,2,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,"z",1,2.49925667088,"2016_Nov_11_1350",59.8990831373,"MA task",NA,"mike",NA
"","","m","8=4 (mod 5)","8=3 (mod 5)","m",NA,NA,NA,NA,NA,NA,NA,NA,0,6,6,1,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,"m",1,2.68254600129,"2016_Nov_11_1350",59.8990831373,"MA task",NA,"mike",NA
"","","m","6=4 (mod 3) ","8=2 (mod 3) ","m",NA,NA,NA,NA,NA,NA,NA,NA,0,7,7,7,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,"m",1,2.46602479623,"2016_Nov_11_1350",59.8990831373,"MA task",NA,"mike",NA
"","","m","6=3 (mod 2)","9=7 (mod 4)","m",NA,NA,NA,NA,NA,NA,NA,NA,0,8,8,3,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,"m",1,1.69961432007,"2016_Nov_11_1350",59.8990831373,"MA task",NA,"mike",NA
"","","z","6=3 (mod 3)","5=2 (mod 3)","z",NA,NA,NA,NA,NA,NA,NA,NA,0,9,9,0,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,"z",1,3.48222027197,"2016_Nov_11_1350",59.8990831373,"MA task",NA,"mike",NA
"","","m","85=74(mod 5)","85=74 (mod 5)","m",NA,NA,NA,NA,NA,NA,NA,NA,0,10,10,13,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,"m",1,2.43262048095,"2016_Nov_11_1350",59.8990831373,"MA task",NA,"mike",NA
"","","z","95=58 (mod 3)","95=58 (mod 3)","z",NA,NA,NA,NA,NA,NA,NA,NA,0,11,11,12,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,"m",0,2.76579335891,"2016_Nov_11_1350",59.8990831373,"MA task",NA,"mike",NA
"","","m","68=63 (mod 4)","69=64 (mod 4)","m",NA,NA,NA,NA,NA,NA,NA,NA,0,12,12,23,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,"z",0,3.53222621567,"2016_Nov_11_1350",59.8990831373,"MA task",NA,"mike",NA
"","","m","54=43 (mod 4)","50=41 (mod 3)","m",NA,NA,NA,NA,NA,NA,NA,NA,0,13,13,15,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,"z",0,1.99943021219,"2016_Nov_11_1350",59.8990831373,"MA task",NA,"mike",NA
"","","z","67=33 (mod 2)","62=32 (mod 3)","z",NA,NA,NA,NA,NA,NA,NA,NA,0,14,14,8,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,"z",1,4.56514366137,"2016_Nov_11_1350",59.8990831373,"MA task",NA,"mike",NA
"","","m","84=76 (mod 5)","88=79 (mod 5)","m",NA,NA,NA,NA,NA,NA,NA,NA,0,15,15,19,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,"z",0,4.31526840564,"2016_Nov_11_1350",59.8990831373,"MA task",NA,"mike",NA
"","","z","42=22 (mod 5)","49=24 (mod 5)","z",NA,NA,NA,NA,NA,NA,NA,NA,0,16,16,10,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,"z",1,3.69871689507,"2016_Nov_11_1350",59.8990831373,"MA task",NA,"mike",NA
"","","m","59=57 (mod 3)","54=52 (mod 3)","m",NA,NA,NA,NA,NA,NA,NA,NA,0,17,17,21,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,"m",1,1.64957608961,"2016_Nov_11_1350",59.8990831373,"MA task",NA,"mike",NA
"","","m","7=4 (mod 4)","7=1 (mod 4)","m",NA,NA,NA,NA,NA,NA,NA,NA,0,18,18,5,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,"m",1,1.88286622717,"2016_Nov_11_1350",59.8990831373,"MA task",NA,"mike",NA
"","","z","33=27 (mod 6)","31=25 (mod 6)","z",NA,NA,NA,NA,NA,NA,NA,NA,0,19,19,20,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,"m",0,3.76548369959,"2016_Nov_11_1350",59.8990831373,"MA task",NA,"mike",NA
"","","m","78=74 (mod 2)","77=73 (mod 2)","m",NA,NA,NA,NA,NA,NA,NA,NA,0,20,20,17,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,"z",0,1.84955803838,"2016_Nov_11_1350",59.8990831373,"MA task",NA,"mike",NA
"","","z","4=1 (mod 3)","8=6 (mod 2)","z",NA,NA,NA,NA,NA,NA,NA,NA,0,21,21,4,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,"z",1,1.69958313397,"2016_Nov_11_1350",59.8990831373,"MA task",NA,"mike",NA
"","","z","5=2 (mod 3)","6=4 (mod 2)","z",NA,NA,NA,NA,NA,NA,NA,NA,0,22,22,6,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,"z",1,1.61630862614,"2016_Nov_11_1350",59.8990831373,"MA task",NA,"mike",NA
"","","m","50=21 (mod 6)","50=29 (mod 5)","m",NA,NA,NA,NA,NA,NA,NA,NA,0,23,23,9,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,"m",1,4.59852449538,"2016_Nov_11_1350",59.8990831373,"MA task",NA,"mike",NA
